stored_as,restored_to
"Marcos Hernández","Marcos Redero Hernández"
"Rogelio Mori","Rogelio Funes Mori"
"José Martínez","José Andrés Martínez"
"José Figueras","José Juan Figueras"
"José Soto","José Luis Soto"
"Ignacio Carrión","Ignacio Segura Carrión"
"Benito Casanova","Benito Domínguez Casanova"
"Paul Guen","Paul Le Guen"
"Dave Bergh","Dave van den Bergh"
"Iván Ruiz","Iván Díaz Ruiz"
"Salim Boina","Salim Ben Boina"
"Nzelo Lembi","Nzelo Hervé Lembi"
"Djibril Ouattara","Djibril Cheick Ouattara"
"José Soler","José Ignacio Soler"
"Issa Sidibé","Issa Modibo Sidibé"
"El Hababi","El Arbi Hababi"
"Loris Nevo","Loris Del Nevo"
"Juan Valenzuela","Juan Carlos Valenzuela"
"Dayne Clair","Dayne St. Clair"
"Jon Lambea","Jon Ander Lambea"
"José Menéndez","José María Cabrera Menéndez"
"Miguel España","Miguel Ángel España"
"Gunnar Þorvaldsson","Gunnar Heiðar Þorvaldsson"
"José Buljubasich","José María Buljubasich"
"Juan Pereiro","Juan Carlos Mariño Pereiro"
"Juan Andrades","Juan Antonio Andrades"
"Andrea Vito","Andrea De Vito"
"José Mosquera","José Luis Mosquera"
"Jan Halst","Jan van Halst"
"Juan Moreno","Juan Carlos Moreno"
"Pablo Stalla","Pablo Díaz Stalla"
"Manuel Costa","Manuel da Costa"
"Jean-Pierre Placa","Jean-Pierre La Placa"
"Laurens Heuvel","Laurens ten Heuvel"
"Jaime Linares","Jaime Miguel Linares"
"Bent Arensøe","Bent Christensen Arensøe"
"Ángel Medina","Ángel Pedro Medina"
"José Ruiz","José Miguel Pérez Ruiz"
"Mateus Costa","Mateus Galiano da Costa"
